Year,Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
3,8,6,8,Right-handed,On your left side,5
2,4,4,7,Right-handed,On your back,2
1,7,5,7.5,Right-handed,On your left side,3
1,8,18,8,Right-handed,On your right side,0
1,8,10,9,Right-handed,On your back,1
1,8,10,8,Right-handed,On your left side,4
1,7,10,6,Right-handed,On your left side,1
3,7,4,6,Right-handed,On your back,0
1,5,2,8,Right-handed,On your right side,9
2,5,6,8,Right-handed,On your left side,0
1,6,25,8,Right-handed,On your left side,2
1,8,5,7,Right-handed,On your left side,1
3,3,3,7,Left-handed,On your left side,0
2,5,5,8,Right-handed,On your left side,0
2,6,2,7,Right-handed,On your right side,9
3,8,8,7,Right-handed,On your right side,2
2,3,12,6,Right-handed,On your right side,4
2,5,2,5,Right-handed,On your left side,4
1,4,5,7,Right-handed,On your back,0
4,2,1,6,Left-handed,On your left side,0
1,3,10,6,Right-handed,On your left side,2
3,8,4,8,Right-handed,On your back,0
1,7,7,7,Right-handed,On your stomach,4
4,7,3,8,Right-handed,On your back,0
3,3,9,9,Right-handed,On your left side,1
2,7,10,8,Right-handed,On your back,2
2,8,5,8,Right-handed,On your right side,1
1,7,10,8,Right-handed,On your back,4
3,3,4,8,Right-handed,On your right side,0
1,9,5,7,Right-handed,On your left side,0
1,7,5,7,Right-handed,On your left side,8
1,6,2,10,Right-handed,On your right side,4
1,5,4,7,Right-handed,On your stomach,5
1,3,10,8,Right-handed,On your right side,0
1,5,6,7,Left-handed,On your stomach,2
1,9,10,7,Right-handed,On your left side,4
1,5,5,6,Right-handed,On your right side,6
3,4,5,6,Right-handed,On your right side,0
1,8,6,8,Left-handed,On your left side,0
2,8,8,7,Right-handed,On your right side,2
3,4,3,6,Right-handed,On your left side,5
1,4,3,7,Right-handed,On your right side,0
2,6,3,8,Right-handed,On your right side,4
2,4,3,8.5,Right-handed,On your back,0
1,7,12,7,Right-handed,On your right side,2
3,5,10,8,Right-handed,On your stomach,6
1,6,10,7,Right-handed,On your right side,2
1,6,3,7,Right-handed,On your right side,0
2,4,5,8,Right-handed,On your right side,9
2,4,2,6,Left-handed,On your right side,6
2,7,6,7,Right-handed,On your right side,2
4,7,3,8,Right-handed,On your back,0
4,5,5,9,Right-handed,On your left side,13
3,2,2,9,Right-handed,On your back,2
4,7,5,8,Right-handed,On your right side,5
4,5,10,7.5,Right-handed,On your right side,4
1,5,5,8,Right-handed,On your left side,4
2,6,3,7,Right-handed,On your back,0
2,7,6,7.5,Right-handed,On your stomach,0
1,10,6,7,Right-handed,On your right side,8
3,6,5,7,Left-handed,On your left side,0
1,4,15,7.5,Right-handed,On your right side,4
1,7,30,7,Left-handed,On your left side,8
1,8,25,7.5,Right-handed,On your left side,7
1,9,15,7,Right-handed,On your right side,0
1,5,6,7,Right-handed,On your left side,1
3,3,2,9,Right-handed,On your back,2
2,3,9,7,Right-handed,On your stomach,2
1,7,5,7,Right-handed,On your left side,6
2,7,5,8,Right-handed,On your right side,0
1,4,5,7,Right-handed,On your right side,2
1,8,3,7,Right-handed,On your left side,0
1,7,6,7,Right-handed,On your right side,1
1,6,8,8,Right-handed,On your left side,0
3,7,3,6,Left-handed,On your right side,0
3,2,1,7,Right-handed,On your back,0
1,7,10,7,Right-handed,On your right side,2
3,2,1,8,Right-handed,On your back,0
3,3,3,5,Right-handed,On your right side,4
4,4,6,8,Right-handed,On your right side,1
1,8,6,8,Right-handed,On your left side,1
2,7,3,7,Right-handed,On your left side,0
1,6,3,7,Right-handed,On your stomach,0
3,6,13,7,Right-handed,On your right side,2
1,7,20,7,Right-handed,On your back,0
2,3,7,7,Right-handed,On your back,1
1,3,3,7,Right-handed,On your left side,0
1,6,3,7,Right-handed,On your right side,0
1,5,5,8,Right-handed,On your right side,4
1,1,3,8,Right-handed,On your back,0
1,4,5,6,Right-handed,On your left side,2
2,5,4,9,Right-handed,On your back,0
1,10,5,8,Right-handed,On your right side,3
1,3,2,8,Right-handed,On your right side,0
1,7,5,8,Left-handed,On your left side,2
1,9,10,8,Right-handed,On your right side,6
1,5,2,7,Right-handed,On your back,2
1,4,6,7,Right-handed,On your right side,4
1,7,3,7,Right-handed,On your right side,2
1,3,5,6,Right-handed,On your right side,4
1,5,10,5,Right-handed,On your back,2
4,3,3,8,Right-handed,On your back,0
1,4,6,7,Left-handed,On your stomach,2
1,6,7,7,Right-handed,On your right side,2
1,5,4,7,Right-handed,On your right side,0
1,7,5,8,Right-handed,On your right side,0
4,3,1,9,Right-handed,On your back,2
4,6,2,8,Right-handed,On your back,0
1,7,10,8,Right-handed,On your right side,1
1,4,2,12,Right-handed,On your left side,4
4,3,2,8,Right-handed,On your back,8
1,3,5,7,Right-handed,On your right side,0
2,7,10,7,Right-handed,On your back,0
2,6,10,7,Right-handed,On your right side,2
1,6,5,8,Right-handed,On your back,0
1,4,1,7,Right-handed,On your left side,0
1,7,6,7,Right-handed,On your right side,2
1,8,4,8,Right-handed,On your back,0
3,6,5,6,Right-handed,On your right side,2
2,4,3,8,Left-handed,On your back,7
1,4,7,7,Right-handed,On your right side,2
4,7,10,7,Right-handed,On your right side,4
1,4,6,6,Left-handed,On your back,0
1,4,2,8,Right-handed,On your back,0
4,6,3,7,Right-handed,On your right side,10
5,10,5,8,Right-handed,On your right side,0
1,4,4,6,Right-handed,On your right side,2
1,8,3,9,Right-handed,On your left side,0
1,3,1,9,Right-handed,On your back,0
3,6,5,6,Right-handed,On your right side,0
1,7,6,8,Right-handed,On your stomach,1
1,5,3,8,Right-handed,On your right side,0
3,4,2,7,Right-handed,On your right side,3
1,8,9,5,Right-handed,On your back,6
1,7,7,7,Right-handed,On your left side,2
1,2,5,6,Right-handed,On your right side,0
1,3,10,7,Right-handed,On your left side,0
1,8,5,7,Left-handed,On your right side,0
3,6,8,6,Right-handed,On your back,0
1,3,3,6,Right-handed,On your back,0
1,5,10,10,Right-handed,On your right side,0
3,5,1,7,Right-handed,On your back,3
1,6,5,7,Right-handed,On your right side,2
3,6,5,7.5,Right-handed,On your right side,0
1,5,5,7,Right-handed,On your right side,4
2,8,10,8,Right-handed,On your back,0
1,4,5,8,Right-handed,On your right side,0
2,4,4,6,Right-handed,On your right side,1
3,2,4,8,Right-handed,On your right side,2
4,3,4,6.5,Right-handed,On your right side,7
1,8,6,8,Right-handed,On your right side,5
1,6,3,6,Right-handed,On your left side,0
1,8,6,8,Right-handed,On your back,2
2,7,4,8,Right-handed,On your left side,4
1,6,2,8,Right-handed,On your right side,0
1,3,5,6,Right-handed,On your right side,0
1,5,5,8,Right-handed,On your back,5
2,6,10,7,Right-handed,On your right side,0
1,4,4,6,Right-handed,On your left side,3
1,6,3,10,Right-handed,On your back,0
1,9,10,6.5,Right-handed,On your back,3
1,7,18,7,Right-handed,On your stomach,1
1,7,12,7,Right-handed,On your right side,1
2,6,7,6,Right-handed,On your right side,6
1,5,6,7,Right-handed,On your right side,2
1,6,7,7,Right-handed,On your left side,2
2,9,20,7,Right-handed,On your left side,9
2,8,10,8,Right-handed,On your left side,0
3,3,4,6.3,Right-handed,On your right side,6
1,3,5,6.7,Left-handed,On your stomach,0
1,5,5,8,Right-handed,On your right side,1
1,7,8,7,Right-handed,On your right side,1
3,7,12,7,Right-handed,On your stomach,0
3,4,1,10,Right-handed,On your back,0
1,8,6,9,Right-handed,On your right side,2
1,6,7,7,Right-handed,On your back,2
1,7,8,8,Right-handed,On your left side,0
2,5,3,7,Right-handed,On your right side,2
1,4,5,8,Right-handed,On your back,4
3,6,4,6,Right-handed,On your right side,3
1,4,10,7,Right-handed,On your right side,5
1,5,6,8,Left-handed,On your back,0
1,5,4,7,Right-handed,On your right side,2
1,5,4,7,Right-handed,On your back,1
1,5,5,6,Right-handed,On your back,0
1,8,13,8,Right-handed,On your right side,2
3,7,10,7,Right-handed,On your stomach,0
4,7,10,7,Right-handed,On your back,5
2,7,20,8,Left-handed,On your stomach,0
1,5,5,6,Right-handed,On your left side,4
1,5,8,8,Right-handed,On your back,0
1,7,4,6,Right-handed,On your left side,2
1,4,3,6.5,Right-handed,On your back,3
4,4,8,7,Right-handed,On your right side,5
1,3,5,8,Right-handed,On your back,2
1,4,3,7,Right-handed,On your right side,2
1,6,6,7.5,Right-handed,On your left side,2
1,7,3,7,Right-handed,On your right side,1
2,10,25,4,Left-handed,On your back,0
2,7,4,6,Right-handed,On your left side,0
2,7,10,7,Right-handed,On your right side,2
1,3,5,5.5,Right-handed,On your left side,0
1,7,5,7,Right-handed,On your back,0
2,3,3,8,Right-handed,On your left side,2
1,4,3,8,Right-handed,On your back,0
3,5,20,7,Left-handed,On your right side,7
1,8,5,7,Right-handed,On your right side,2
